Date,Close,Open,High,Low,Volume,Change_pct
2023-12-22,74023.27,74288.88,74430.47,73993.49,423.20,-0.0036
2023-12-21,74289.02,73397.71,74292.76,73397.71,760.93,0.0121
2023-12-20,73397.71,72470.10,73399.61,72470.10,552.22,0.0128
2023-12-19,72470.10,72404.91,72489.21,72320.32,411.06,0.0009
2023-12-18,72404.91,72389.23,72413.13,72276.75,324.15,0.0002
2023-12-15,72389.23,72458.76,72671.03,72368.30,307.15,-0.0009
2023-12-14,72455.83,72299.79,72539.04,72299.79,446.58,0.0022
2023-12-13,72299.79,71907.26,72299.79,71907.26,433.18,0.0055
2023-12-12,71907.26,71669.91,71907.26,71641.05,319.41,0.0033
2023-12-11,71669.91,71559.10,71685.84,71503.35,375.31,0.0018
2023-12-08,71541.74,71458.35,71541.74,70741.96,503.66,0.0012
2023-12-07,71457.92,71591.46,71603.36,71424.74,436.56,-0.0049
2023-12-06,71808.64,71253.78,71866.37,71242.31,690.01,0.0078
2023-12-05,71250.17,70946.83,71250.17,70945.55,433.57,0.0043
2023-12-04,70946.83,71433.64,71607.91,70946.37,358.51,-0.0066
2023-12-01,71419.87,71365.27,71456.61,71356.11,361.12,0.0008
2023-11-30,71365.25,71284.18,71388.13,71270.17,540.09,0.0011
2023-11-29,71283.34,71163.09,71360.17,71129.47,360.60,0.0034
2023-11-28,71041.05,71353.82,71438.19,71000.10,534.62,-0.0044
2023-11-27,71353.81,71241.96,71566.58,70810.51,746.64,0.0017
2023-11-24,71230.49,71072.34,71242.18,71069.65,582.76,0.0025
2023-11-23,71052.85,71009.71,71055.28,70990.01,563.70,0.0007
2023-11-22,71003.98,71067.29,71089.79,70970.75,428.44,-0.0009
2023-11-21,71066.55,71008.99,71079.86,71007.31,491.40,0.0008
2023-11-20,71008.78,71112.99,71122.32,70959.16,358.45,-0.0015
2023-11-17,71112.99,71025.59,71169.70,71013.70,441.58,0.0012
2023-11-16,71025.16,71014.12,71080.30,71011.23,483.80,0.0002
2023-11-15,71014.34,70840.72,71023.15,70836.50,297.32,0.0019
2023-11-14,70876.35,70612.81,70876.35,70609.14,327.43,0.0037
2023-11-13,70612.81,70846.27,71131.22,70612.81,474.39,-0.0034
2023-11-10,70854.18,70819.49,70873.82,70807.93,556.70,0.0005
2023-11-09,70819.58,70775.13,70888.97,70645.15,569.19,0.0007
2023-11-08,70773.38,70613.60,70773.38,70613.60,558.33,0.0023
2023-11-07,70613.60,70479.62,70618.64,70456.92,449.28,0.0019
2023-11-06,70479.62,70196.93,70519.31,70196.93,391.01,0.0040
2023-11-03,70196.93,70042.28,70532.21,69807.45,410.36,0.0022
2023-11-02,70042.28,70582.00,70584.69,70005.39,525.46,-0.0076
2023-11-01,70581.76,69243.91,70581.76,69222.13,601.73,0.0194
2023-10-31,69236.19,68111.71,69245.88,68111.71,483.27,0.0165
2023-10-30,68111.71,67136.58,68111.71,67134.14,430.39,0.0145
2023-10-27,67136.58,67095.50,67235.67,67083.31,214.15,0.0008
2023-10-26,67084.95,67193.43,67211.19,67067.33,267.59,-0.0018
2023-10-25,67206.16,67217.77,67383.60,67206.16,329.56,-0.0002
2023-10-24,67217.77,66876.92,67217.77,66876.92,319.90,0.0051
2023-10-23,66876.92,66915.41,66924.82,66860.14,314.62,-0.0006
2023-10-20,66915.41,67077.79,67081.18,66909.15,205.88,-0.0027
2023-10-19,67098.80,67353.23,67355.60,67083.20,298.69,-0.0038
2023-10-18,67353.23,67326.12,67440.22,67326.12,397.56,0.0004
2023-10-17,67326.12,67037.93,67326.12,67037.21,377.97,0.0043
2023-10-16,67037.93,67200.03,67303.23,67022.94,216.07,-0.0024
2023-10-13,67200.69,67122.84,67214.30,67121.04,224.07,0.0010
2023-10-12,67133.19,67100.49,67152.93,67100.49,309.32,0.0005
2023-10-11,67100.49,66984.32,67190.54,66981.09,410.32,0.0017
2023-10-10,66984.62,67101.39,67118.93,66956.31,257.42,-0.0017
2023-10-09,67101.57,66454.57,67123.22,66454.57,268.65,0.0097
2023-10-06,66454.57,66532.84,67188.68,66210.45,374.09,-0.0017
2023-10-05,66570.19,66481.99,66570.19,66474.70,357.45,0.0013
2023-10-04,66482.28,66770.97,66891.05,66449.33,657.51,-0.0043
2023-10-03,66770.97,66382.14,66966.66,66382.14,364.32,0.0059
2023-09-29,66382.14,66448.63,66508.55,65865.33,292.94,-0.0010
2023-09-28,66448.63,66665.16,66710.95,66399.02,273.80,-0.0031
2023-09-26,66652.17,66882.64,66937.30,66218.36,363.94,-0.0034
2023-09-25,66882.64,67227.17,67281.98,66882.64,408.19,-0.0066
2023-09-22,67324.59,68272.66,68310.05,67277.43,1033.00,-0.0139
2023-09-21,68271.14,68336.40,68377.26,68215.40,1120.00,-0.0009
2023-09-20,68335.72,68375.47,68495.83,68113.02,566.63,-0.0003
2023-09-19,68359.22,67878.20,68370.90,67878.20,676.74,0.0071
2023-09-18,67877.17,67395.74,67877.17,67395.74,515.28,0.0071
2023-09-15,67395.74,67335.30,67395.74,67199.04,408.87,0.0007
2023-09-14,67347.73,67419.50,67471.13,67243.92,788.54,-0.0010
2023-09-13,67414.40,66780.64,67421.40,66780.64,569.63,0.0098
2023-09-12,66760.20,67198.77,67198.77,66485.44,645.51,-0.0080
2023-09-11,67296.18,68143.34,68162.71,67284.52,520.13,-0.0124
2023-09-08,68143.34,68082.11,68195.76,68082.11,483.49,0.0009
2023-09-07,68082.11,68286.28,68316.40,67969.08,378.09,-0.0030
2023-09-06,68286.28,68325.27,68347.52,67624.46,378.65,-0.0007
2023-09-05,68334.68,68279.50,68457.06,68156.50,557.80,0.0008
2023-09-04,68279.14,67568.03,68302.55,67568.03,744.76,0.0111
2023-09-01,67527.19,66548.99,67527.19,66120.90,503.75,0.0147
2023-08-31,66548.99,66439.53,66548.99,66225.71,620.95,0.0016
2023-08-30,66439.53,66490.34,66649.93,66359.67,637.19,-0.0008
2023-08-29,66490.34,66153.23,66554.58,66153.23,436.95,0.0051
2023-08-28,66151.38,65558.91,66151.38,65558.91,311.12,0.0090
2023-08-25,65558.91,65401.82,65585.28,65401.82,356.02,0.0024
2023-08-24,65401.82,65493.10,66185.04,65374.39,583.09,-0.0014
2023-08-23,65492.92,65488.67,65567.61,65416.76,348.32,0.0001
2023-08-22,65488.67,65198.74,65672.68,65191.01,293.46,0.0044
2023-08-21,65202.41,64721.09,65202.41,64690.33,231.60,0.0071
2023-08-18,64743.96,64469.75,64784.47,64450.40,537.58,0.0012
2023-08-17,64663.78,64625.28,64663.78,64452.84,320.35,0.0006
2023-08-16,64625.28,64928.98,65128.21,64549.58,291.68,-0.0047
2023-08-15,64928.98,65023.80,65028.46,64860.22,280.47,-0.0043
2023-08-14,65210.49,65325.37,65358.76,65183.22,259.04,-0.0018
2023-08-11,65325.37,65204.82,65352.70,65189.91,489.69,0.0018
2023-08-10,65205.35,64167.39,65205.35,64154.19,361.20,0.0162
2023-08-09,64167.39,65385.45,65396.93,64167.39,238.04,-0.0175
2023-08-08,65309.65,65336.71,65393.68,65212.96,317.81,-0.0004
2023-08-07,65336.80,65198.08,65340.27,65192.01,334.33,0.0021
2023-08-04,65198.08,65263.06,65309.66,64910.29,363.14,-0.0010
2023-08-03,65263.06,64267.36,65323.20,64267.36,445.28,0.0155
2023-08-02,64267.36,64193.38,64301.59,63773.76,330.77,0.0012
2023-08-01,64192.20,64337.30,64340.24,64003.17,762.10,-0.0023
2023-07-31,64337.52,65056.39,65075.94,64296.31,673.42,-0.0110
2023-07-28,65056.39,65482.91,65482.91,64957.85,459.77,-0.0065
2023-07-27,65482.91,65687.16,65730.63,65436.85,509.25,-0.0031
2023-07-26,65687.16,65992.29,66009.80,65549.37,500.40,-0.0046
2023-07-25,65991.02,65268.28,66017.94,65072.82,553.52,0.0111
2023-07-24,65268.28,65012.97,65268.28,64892.11,831.50,0.0041
2023-07-21,65003.39,63938.12,65015.76,63938.12,770.78,0.0168
2023-07-20,63930.72,63757.23,63930.72,63745.52,1360.00,0.0027
2023-07-19,63757.23,63766.72,63835.33,63580.77,473.49,-0.0001
2023-07-18,63766.72,62943.35,63766.72,62895.72,868.80,0.0131
2023-07-17,62943.35,62569.73,63272.79,62439.22,710.02,0.0060
2023-07-14,62569.73,62748.94,63076.58,62441.33,600.49,-0.0029
2023-07-13,62748.94,64046.61,64095.69,62729.77,798.47,-0.0203
2023-07-12,64046.93,65669.29,65669.29,63880.87,1160.00,-0.0247
2023-07-11,65669.29,64603.69,65999.97,64516.55,844.72,0.0165
2023-07-10,64603.69,63040.41,64674.08,63040.41,1840.00,0.0248
2023-07-07,63040.87,62023.17,63040.87,62023.17,1230.00,0.0165
2023-07-06,62019.88,61536.76,62048.05,61509.00,5440.00,0.0081
2023-07-05,61523.57,60720.02,61572.41,60705.92,846.32,0.0133
2023-07-04,60715.04,61949.24,61949.24,60713.56,1110.00,-0.0199
2023-07-03,61948.99,60991.12,61962.70,60991.12,1210.00,0.0161
2023-06-30,60968.27,60109.02,60968.82,60109.02,998.08,0.0143
2023-06-27,60109.41,59332.61,60109.41,59315.04,763.69,0.0130
2023-06-26,59338.76,59208.11,59500.39,59197.74,552.68,0.0022
2023-06-23,59206.63,59211.26,59252.78,59164.94,627.87,-0.0026
2023-06-22,59361.60,59324.99,59373.28,59279.36,615.91,0.0006
2023-06-21,59323.95,59110.60,59399.54,59097.09,643.03,0.0036
2023-06-20,59110.02,59014.85,59125.75,59012.15,588.84,0.0016
2023-06-19,59016.12,59000.96,59227.72,58925.92,892.95,0.0003
2023-06-16,59000.96,59195.21,59233.16,58897.65,622.42,-0.0033
2023-06-15,59195.21,59985.10,60442.12,59121.70,1170.00,-0.0132
2023-06-14,59985.10,58163.76,60072.73,58163.76,1300.00,0.0313
2023-06-13,58163.55,55930.97,58195.59,55930.97,1190.00,0.0399
2023-06-09,55930.97,55956.59,55998.75,55867.98,574.63,-0.0005
2023-06-08,55956.59,56024.83,56030.97,55361.68,531.78,-0.0012
2023-06-07,56025.56,56038.85,56089.52,56006.80,397.62,-0.0002
2023-06-06,56038.85,55806.71,56038.85,55768.37,322.49,0.0042
2023-06-05,55807.09,55820.50,55820.50,55694.52,369.75,-0.0003
2023-06-02,55822.82,55808.25,55828.59,55570.81,455.76,0.0003
2023-06-01,55808.25,55769.91,55832.68,55713.60,390.22,0.0007
2023-05-31,55769.28,55741.49,55800.21,55436.50,661.51,0.0004
2023-05-30,55745.74,52973.88,55745.74,52973.88,1080.00,0.0523
2023-05-26,52973.88,52821.60,52991.18,52415.13,461.78,0.0029
2023-05-25,52821.64,52927.60,52928.28,52723.15,377.14,-0.0020
2023-05-24,52927.60,52621.19,52942.62,52581.88,455.18,0.0058
2023-05-23,52621.19,52374.89,52621.19,52361.95,350.97,0.0048
2023-05-22,52369.13,52187.93,52369.13,52145.28,315.68,0.0035
2023-05-19,52187.93,52109.45,52187.93,52064.86,584.66,0.0015
2023-05-18,52109.43,52063.21,52139.51,52044.02,334.24,-0.0090
2023-05-17,52580.86,52417.09,52636.93,52417.09,680.80,0.0031
2023-05-16,52419.33,52231.29,52436.45,52231.29,576.85,0.0036
2023-05-15,52231.29,52214.62,52250.73,52212.44,626.39,0.0003
2023-05-12,52214.62,52162.14,52215.66,52159.75,1420.00,0.0010
2023-05-11,52161.24,52202.53,52251.68,52100.03,477.27,-0.0009
2023-05-10,52209.31,52605.41,52684.07,52077.15,554.31,-0.0076
2023-05-09,52606.51,52576.26,52658.89,52551.76,640.95,0.0005
2023-05-08,52579.52,52465.33,52622.37,52465.33,511.37,0.0022
2023-05-05,52466.52,52290.75,52469.78,52273.06,482.58,0.0034
2023-05-04,52290.75,52207.77,52308.82,52207.77,770.12,0.0016
2023-05-03,52207.77,52296.48,52300.31,52172.84,670.08,-0.0017
2023-05-02,52299.24,52406.88,52426.46,52088.98,418.40,-0.0020
2023-04-28,52403.51,52235.88,52468.51,52223.82,472.13,0.0032
2023-04-27,52235.88,52097.62,52308.30,52084.74,2330.00,0.0027
2023-04-26,52097.62,51608.39,52108.38,51605.13,1480.00,0.0081
2023-04-25,51681.01,51407.96,51681.55,51407.96,541.96,0.0063
2023-04-20,51355.74,51237.16,51363.29,51019.11,600.77,0.0029
2023-04-19,51209.01,51138.92,51209.01,51138.92,216.53,0.0015
2023-04-18,51134.85,51127.38,51144.76,51105.04,1030.00,0.0003
2023-04-17,51120.94,51709.50,51710.82,51095.23,226.59,-0.0151
2023-04-14,51903.61,51944.58,51954.90,51886.65,260.70,-0.0008
2023-04-13,51944.58,51953.41,51981.35,51941.27,302.92,-0.0002
2023-04-12,51953.41,51952.99,51960.77,51935.95,255.16,0.0000
2023-04-11,51952.99,52994.13,52997.10,51945.98,1720.00,-0.0196
2023-04-06,52994.13,53018.97,53031.41,52991.04,266.95,-0.0005
2023-04-05,53018.97,54035.39,54041.08,53003.51,197.21,-0.0197
2023-04-04,54082.96,54187.48,54206.00,54051.37,296.68,-0.0020
2023-04-03,54190.28,54232.34,54236.59,54186.51,292.56,-0.0122
2023-03-31,54857.96,54413.21,54869.86,54413.21,557.93,0.0082
2023-03-30,54413.21,53603.80,54413.21,53603.80,973.58,0.0151
2023-03-29,53603.80,53124.63,53668.06,53124.16,236.06,0.0020
2023-03-28,53498.27,53750.77,53876.52,53498.27,202.85,-0.0047
2023-03-27,53750.77,54780.44,54780.44,53750.77,100.88,-0.0208
2023-03-24,54892.53,54924.08,54944.30,54314.52,137.56,-0.0006
2023-03-23,54924.08,54936.11,54951.96,54919.50,117.85,-0.0002
2023-03-22,54936.11,54904.68,54959.44,54904.68,134.15,0.0006
2023-03-21,54904.68,54886.04,54921.85,54880.02,127.74,0.0003
2023-03-20,54888.48,54915.39,54997.28,54856.36,1170.00,-0.0009
2023-03-17,54935.20,54915.61,54948.43,54913.86,156.97,0.0004
2023-03-16,54915.61,55490.20,55490.20,54844.29,137.28,-0.0104
2023-03-15,55490.20,55722.90,55722.99,55441.60,181.04,-0.0042
2023-03-14,55722.90,55788.37,55788.37,55693.39,199.27,-0.0012
2023-03-13,55788.37,55794.51,55926.89,55788.37,179.03,-0.0001
2023-03-10,55794.51,55822.14,55827.87,55779.25,275.92,-0.0005
2023-03-09,55822.14,55801.14,55830.28,55629.24,311.47,0.0004
2023-03-08,55801.14,55603.94,55820.42,55596.67,152.74,0.0035
2023-03-07,55603.94,55605.57,55623.29,55522.41,159.46,0.0000
2023-03-06,55605.57,55529.21,55645.51,55515.15,123.54,0.0014
2023-03-03,55529.21,55670.08,55710.62,55529.21,184.24,-0.0025
2023-03-02,55670.24,55510.10,55670.24,55281.94,205.66,0.0029
2023-03-01,55508.61,55806.26,55985.47,55385.90,232.58,-0.0053
2023-02-28,55806.26,55328.42,55819.41,55322.01,237.09,0.0086
2023-02-27,55328.42,54949.21,55334.96,54941.76,149.77,0.0069
2023-02-24,54949.21,54811.59,54955.12,54787.29,119.09,0.0055
2023-02-23,54646.38,54315.53,54646.38,54315.42,142.04,0.0061
2023-02-22,54315.53,54189.31,54315.53,54182.36,129.85,0.0023
2023-02-21,54189.31,54224.35,54224.54,54182.61,129.11,-0.0006
2023-02-20,54224.35,53804.46,54229.61,53796.91,154.61,0.0078
2023-02-17,53804.46,54520.20,54553.73,53804.46,172.90,-0.0132
2023-02-16,54521.49,54507.66,54547.20,54506.43,125.85,0.0003
2023-02-15,54507.66,54496.31,54513.44,54475.44,134.43,0.0002
2023-02-14,54496.31,54364.67,54542.10,54338.99,177.90,0.0024
2023-02-13,54364.67,54327.30,54378.64,54327.30,140.64,0.0007
2023-02-10,54327.30,54359.90,54383.13,54301.52,175.66,-0.0006
2023-02-09,54359.90,54427.05,54429.93,54358.20,225.38,-0.0012
2023-02-08,54427.05,54299.57,54441.81,54285.38,151.58,0.0023
2023-02-07,54299.76,54367.86,54369.44,54236.37,200.04,-0.0013
2023-02-06,54367.74,54213.09,54367.74,54206.40,191.64,0.0029
2023-02-03,54213.09,53998.12,54213.09,53994.01,267.99,0.0040
2023-02-02,53998.12,53499.31,53998.12,53483.40,2870.00,0.0093
2023-02-01,53499.68,53238.67,53499.68,53234.31,200.37,0.0049
2023-01-31,53238.67,53157.49,53299.54,53157.49,250.19,0.0015
